FECHA,PETRÓLEO_AR,GAS ASOC_AR,PETRÓLEO_BA,GAS ASOC_BA,PETRÓLEO_5PR,GAS ASOC_5PR,PETRÓLEO_GIR,GAS ASOC_GIR,PETRÓLEO_JUS,GAS ASOC_JUS,PETRÓLEO_LA,GAS ASOC_LA,PETRÓLEO_BE,GAS ASOC_BE
1991/AGO,1.421,2.242,4.491,4.145,9.277,11.974,7.693,164.513,0.698,5.88,2.325,3.838,,
1991/SEP,1.459,2.242,5.047,4.322,8.997,11.755,7.703,155.717,0.698,5.88,2.394,4.166,,
1991/OCT,1.459,2.242,5.164,4.555,9.02,14.673,7.633,157.7,0.698,5.88,2.39,4.393,,
1991/NOV,1.459,2.242,4.895,4.274,10.51,15.907,8.185,148.623,0.698,5.88,2.365,4.739,,
1991/DIC,1.447,2.227,4.883,4.391,10.728,19.73,6.956,128.235,0.681,5.908,2.321,4.837,,
1992/ENE,1.459,2.242,4.611,4.173,10.259,19.737,6.443,139.032,0.623,6.003,2.244,4.697,,
1992/FEB,1.459,2.242,4.647,4.194,10.478,22.275,7.274,147.848,0.623,6.003,2.26,4.718,,
1992/MAR,1.459,2.242,5.215,4.934,10.669,21.465,7.483,141.424,0.623,6.003,2.283,4.854,,
1992/ABR,1.459,2.242,5.518,5.768,11.058,18.84,7.183,140.967,0.623,6.003,2.25,4.816,,
1992/MAY,1.459,2.242,4.361,5.238,11.433,20.547,6.056,124.763,0.623,6.003,2.227,5.262,,
1992/JUN,1.303,1.978,4.4,6.26,11.599,19.117,6.122,125.326,0.617,6.745,2.118,6.866,,
1992/JUL,0.886,1.25,4.433,6.045,10.502,19.338,7.217,129.593,0.616,6.738,2.074,5.743,,
1992/AGO,1.319,1.923,4.114,5.445,10.54,19.152,7.969,126.265,0.599,6.211,2.095,5.692,,
1992/SEP,1.358,2.121,4.105,5.532,10.108,18.191,7.206,122.851,0.587,6.092,2.177,6.07,,
